image,mode,class,alias,prompt_text,threshold_box,threshold_text,n_detections,max_score,first_box_x1y1x2y2,hit
frame_0035.png,production,water fountain+door,ALL_GROUP,water fountain. metallic fountain. metallic water fountain. door. doors. dark door. dark door surface. elevator sliding door. elevator sliding doors.,0.38,0.38,0,0.0,,0
frame_0035.png,production,emergency exit sign,ALL_GROUP,emergency exit sign. exit sign.,0.5,0.5,0,0.0,,0
frame_0035.png,production,trash bin,ALL_GROUP,trash bin. trash bins. indoor trash bin.,0.45,0.45,0,0.0,,0
frame_0035.png,extras,bench,bench,bench.,0.2,0.2,3,0.2224,"[1.93983793258667, 1753.7232666015625, 439.0729675292969, 1856.97412109375]",1
frame_0035.png,extras,bench,metal bench,metal bench.,0.2,0.2,4,0.2805,"[3.0237722396850586, 1748.6795654296875, 444.5867004394531, 1854.5577392578125]",1
frame_0035.png,extras,bench,waiting bench,waiting bench.,0.2,0.2,2,0.3691,"[2233.658447265625, 1663.62939453125, 2879.40625, 1854.40771484375]",1
frame_0035.png,extras,bench,sitting bench,sitting bench.,0.2,0.2,5,0.3079,"[2.444307804107666, 1751.066162109375, 439.9622802734375, 1855.94970703125]",1
frame_0035.png,extras,bench,long bench,long bench.,0.2,0.2,4,0.39,"[2234.1083984375, 1662.7076416015625, 2878.31640625, 1853.9659423828125]",1
frame_0035.png,extras,bottle,bottle,bottle.,0.18,0.18,1,0.5673,"[1086.1728515625, 859.5671997070312, 1102.6961669921875, 896.7047729492188]",1
frame_0035.png,extras,bottle,dark thermos bottle,dark thermos bottle.,0.18,0.18,2,0.3048,"[1082.0447998046875, 853.5460815429688, 1107.5460205078125, 901.45703125]",1
frame_0035.png,extras,bottle,thermos bottle,thermos bottle.,0.18,0.18,1,0.3344,"[1083.719970703125, 856.466064453125, 1105.5045166015625, 900.5822143554688]",1
frame_0035.png,extras,bottle,water bottle,water bottle.,0.18,0.18,1,0.4389,"[1083.6956787109375, 857.0474243164062, 1105.078125, 900.226318359375]",1
frame_0035.png,extras,bottle,drink bottle,drink bottle.,0.18,0.18,1,0.2937,"[1084.7427978515625, 857.4581298828125, 1104.6495361328125, 899.509521484375]",1
frame_0035.png,extras,bottle,small bottle,small bottle.,0.18,0.18,2,0.5619,"[1082.0966796875, 854.989013671875, 1107.0399169921875, 901.1264038085938]",1
frame_0035.png,extras,cardboard box,cardboard box,cardboard box.,0.2,0.2,1,0.5321,"[1610.5850830078125, 984.6773071289062, 1703.66162109375, 1044.831787109375]",1
frame_0035.png,extras,cardboard box,brown cardboard box,brown cardboard box.,0.2,0.2,2,0.5875,"[1608.30712890625, 981.7860107421875, 1705.5601806640625, 1046.9613037109375]",1
frame_0035.png,extras,cardboard box,shipping box,shipping box.,0.2,0.2,2,0.4342,"[1611.260498046875, 985.9512939453125, 1703.123046875, 1043.8060302734375]",1
frame_0035.png,extras,cardboard box,package box,package box.,0.2,0.2,1,0.2482,"[1611.4056396484375, 985.3265380859375, 1703.458984375, 1043.9735107421875]",1
frame_0035.png,extras,cardboard box,small box,small box.,0.2,0.2,1,0.6785,"[1609.7945556640625, 983.2886352539062, 1705.1077880859375, 1045.7996826171875]",1
frame_0035.png,extras,cardboard box,box,box.,0.2,0.2,1,0.4423,"[1612.041748046875, 987.1536865234375, 1702.383056640625, 1042.1920166015625]",1
frame_0035.png,extras,chair,chair,chair.,0.2,0.2,8,0.2704,"[452.9786376953125, 895.0404052734375, 567.8990478515625, 1027.9786376953125]",1
frame_0035.png,extras,chair,armless chair,armless chair.,0.2,0.2,7,0.4311,"[586.5362548828125, 861.4545288085938, 717.2337036132812, 1070.7974853515625]",1
frame_0035.png,extras,chair,office chair,office chair.,0.2,0.2,11,0.4211,"[587.5732421875, 863.4478759765625, 718.9108276367188, 1069.5755615234375]",1
frame_0035.png,extras,chair,wheeled chair,wheeled chair.,0.2,0.2,8,0.4862,"[587.1184692382812, 862.5281982421875, 716.261962890625, 1069.6231689453125]",1
frame_0035.png,extras,chair,swivel chair,swivel chair.,0.2,0.2,6,0.3902,"[586.1770629882812, 861.15576171875, 715.9527587890625, 1071.187255859375]",1
frame_0035.png,extras,chair,rolling chair,rolling chair.,0.2,0.2,8,0.4377,"[587.259033203125, 862.2153930664062, 716.4402465820312, 1070.0404052734375]",1
frame_0035.png,extras,cup,cup,cup.,0.18,0.18,1,0.3474,"[1087.0440673828125, 861.2154541015625, 1102.7161865234375, 896.0276489257812]",1
frame_0035.png,extras,cup,white drinking cup,white drinking cup.,0.18,0.18,2,0.4139,"[1078.51123046875, 852.210205078125, 1110.3538818359375, 902.6785888671875]",1
frame_0035.png,extras,cup,drinking cup,drinking cup.,0.18,0.18,0,0.0,,0
frame_0035.png,extras,cup,coffee cup,coffee cup.,0.18,0.18,0,0.0,,0
