image,mode,class,alias,prompt_text,threshold_box,threshold_text,n_detections,max_score,first_box_x1y1x2y2,hit
frame_0002.png,extras,bench,metal bench,metal bench.,0.2,0.2,1,0.5267,"[1363.6060791015625, 836.6123046875, 1532.4437255859375, 1081.85888671875]",1
frame_0002.png,extras,bench,waiting bench,waiting bench.,0.2,0.2,2,0.4179,"[1364.23779296875, 837.409912109375, 1531.6474609375, 1082.0823974609375]",1
frame_0002.png,extras,bench,long bench,long bench.,0.2,0.2,5,0.3542,"[2261.2197265625, 1672.3203125, 2878.198486328125, 1853.7362060546875]",1
frame_0002.png,extras,bench,indoor bench,indoor bench.,0.2,0.2,3,0.3409,"[1366.6649169921875, 838.7772827148438, 1529.6092529296875, 1078.476318359375]",1
frame_0002.png,extras,cardboard box,cardboard box,cardboard box.,0.2,0.2,0,0.0,,0
frame_0002.png,extras,cardboard box,brown cardboard box,brown cardboard box.,0.2,0.2,2,0.385,"[1535.5966796875, 5.720393657684326, 2603.828369140625, 1245.0150146484375]",1
frame_0002.png,extras,cardboard box,shipping box,shipping box.,0.2,0.2,0,0.0,,0
frame_0002.png,extras,cardboard box,package box,package box.,0.2,0.2,0,0.0,,0
frame_0002.png,extras,cardboard box,stacked box,stacked box.,0.2,0.2,0,0.0,,0
frame_0002.png,extras,cardboard box,box,box.,0.2,0.2,0,0.0,,0
frame_0002.png,extras,chair,chair,chair.,0.2,0.2,11,0.5265,"[1365.84814453125, 839.7833251953125, 1529.490478515625, 1079.4359130859375]",1
frame_0002.png,extras,chair,armless chair,armless chair.,0.2,0.2,5,0.3614,"[1361.942626953125, 836.4702758789062, 1532.9395751953125, 1083.2540283203125]",1
frame_0002.png,extras,chair,office chair,office chair.,0.2,0.2,20,0.6581,"[1365.4517822265625, 838.5305786132812, 1530.942138671875, 1081.2314453125]",1
frame_0002.png,extras,chair,swivel chair,swivel chair.,0.2,0.2,4,0.3429,"[1360.9154052734375, 835.982666015625, 1533.4715576171875, 1084.3511962890625]",1
frame_0002.png,extras,chair,rolling chair,rolling chair.,0.2,0.2,11,0.5364,"[1363.941650390625, 837.3853759765625, 1531.5435791015625, 1082.860595703125]",1
frame_0002.png,extras,chair,stool chair,stool chair.,0.2,0.2,22,0.595,"[1365.41455078125, 838.9065551757812, 1529.974609375, 1080.3302001953125]",1
frame_0002.png,extras,door,door,door.,0.2,0.2,8,0.2514,"[2520.86474609375, 383.7013854980469, 2701.607421875, 1130.8431396484375]",1
frame_0002.png,extras,door,dark door surface,dark door surface.,0.2,0.2,3,0.3803,"[2441.8203125, 145.89503479003906, 2716.7265625, 1136.9222412109375]",1
frame_0002.png,extras,door,wooden door,wooden door.,0.2,0.2,6,0.2965,"[2519.17529296875, 382.160888671875, 2704.3427734375, 1131.9437255859375]",1
frame_0002.png,extras,door,closed door,closed door.,0.2,0.2,7,0.2869,"[2517.15185546875, 380.2825622558594, 2704.8681640625, 1133.19189453125]",1
frame_0002.png,extras,door,interior door,interior door.,0.2,0.2,12,0.2908,"[2518.99169921875, 382.578857421875, 2702.86767578125, 1132.4102783203125]",1
frame_0002.png,extras,electric vehicle,electric vehicle,electric vehicle.,0.2,0.2,0,0.0,,0
frame_0002.png,extras,electric vehicle,small electric vehicle,small electric vehicle.,0.2,0.2,2,0.5145,"[1147.952880859375, 1644.8670654296875, 1695.039306640625, 1855.40771484375]",1
frame_0002.png,extras,electric vehicle,electric cart,electric cart.,0.2,0.2,0,0.0,,0
frame_0002.png,extras,electric vehicle,small electric cart,small electric cart.,0.2,0.2,2,0.5563,"[1360.395751953125, 835.5079345703125, 1535.444091796875, 1085.4381103515625]",1
frame_0002.png,extras,electric vehicle,compact electric car,compact electric car.,0.2,0.2,4,0.4109,"[1151.2593994140625, 1651.103759765625, 1694.893310546875, 1855.1998291015625]",1
frame_0002.png,extras,electric vehicle,indoor electric vehicle,indoor electric vehicle.,0.2,0.2,2,0.487,"[5.320644378662109, 4.732256889343262, 2875.191162109375, 1851.9927978515625]",1
frame_0002.png,extras,electric vehicle,robot platform,robot platform.,0.2,0.2,6,0.4489,"[1399.9468994140625, 839.4205932617188, 1672.119140625, 1087.8192138671875]",1
frame_0002.png,extras,large power bank,large power bank,large power bank.,0.18,0.18,5,0.4058,"[10.57459831237793, 6.463962554931641, 2870.69189453125, 1846.3330078125]",1
frame_0002.png,extras,large power bank,portable power bank battery,portable power bank battery.,0.18,0.18,3,0.2529,"[1039.8314208984375, 960.4894409179688, 1080.7301025390625, 992.7822875976562]",1
frame_0002.png,extras,large power bank,power bank,power bank.,0.18,0.18,5,0.3483,"[1511.3580322265625, 2.7041549682617188, 2870.27490234375, 1244.91015625]",1
frame_0002.png,extras,large power bank,battery pack,battery pack.,0.18,0.18,0,0.0,,0
frame_0002.png,extras,large power bank,large battery,large battery.,0.18,0.18,4,0.2106,"[1039.892578125, 960.5075073242188, 1080.670166015625, 992.1906127929688]",1
frame_0002.png,extras,large power bank,portable battery,portable battery.,0.18,0.18,2,0.2604,"[1040.5592041015625, 961.1974487304688, 1080.369873046875, 992.0224609375]",1
frame_0002.png,extras,large power bank,rectangular battery box,rectangular battery box.,0.18,0.18,4,0.2128,"[1307.9395751953125, 892.4166259765625, 1336.8768310546875, 914.9970703125]",1
frame_0002.png,extras,meeting table set,meeting table set,meeting table set.,0.2,0.2,4,0.4866,"[123.6434097290039, 875.158203125, 399.9373779296875, 1031.634521484375]",1
frame_0002.png,extras,meeting table set,large meeting table,large meeting table.,0.2,0.2,3,0.4354,"[1402.490478515625, 832.7727661132812, 1674.559814453125, 1084.7940673828125]",1
frame_0002.png,extras,meeting table set,conference table,conference table.,0.2,0.2,5,0.5537,"[172.46633911132812, 888.3446655273438, 397.01348876953125, 1023.9550170898438]",1
frame_0002.png,extras,meeting table set,long table with chairs,long table with chairs.,0.2,0.2,4,0.3872,"[1403.6866455078125, 830.97509765625, 1675.7462158203125, 1086.4647216796875]",1
frame_0002.png,extras,meeting table set,office meeting table,office meeting table.,0.2,0.2,5,0.527,"[170.73756408691406, 886.6758422851562, 397.570068359375, 1025.0877685546875]",1
frame_0002.png,extras,meeting table set,long rectangular table,long rectangular table.,0.2,0.2,3,0.4342,"[1407.8095703125, 835.7713623046875, 1673.8402099609375, 1079.1512451171875]",1
frame_0002.png,extras,plant pot,plant pot,plant pot.,0.2,0.2,1,0.2063,"[909.2401123046875, 954.87744140625, 940.39697265625, 991.2769775390625]",1
frame_0002.png,extras,plant pot,potted plant in plastic pot,potted plant in plastic pot.,0.2,0.2,4,0.3859,"[1155.007568359375, 873.333740234375, 1196.226806640625, 987.4161376953125]",1
frame_0002.png,extras,plant pot,potted plant,potted plant.,0.2,0.2,3,0.2458,"[908.7102661132812, 952.7778930664062, 940.5414428710938, 991.3186645507812]",1
frame_0002.png,extras,plant pot,indoor potted plant,indoor potted plant.,0.2,0.2,0,0.0,,0
frame_0002.png,extras,plant pot,flower pot,flower pot.,0.2,0.2,1,0.2372,"[909.61474609375, 956.4534301757812, 940.0631713867188, 991.2283325195312]",1
frame_0002.png,extras,plant pot,plastic plant pot,plastic plant pot.,0.2,0.2,0,0.0,,0
frame_0002.png,extras,shoes,shoes,shoes.,0.18,0.18,2,0.251,"[1155.9373779296875, 1658.155029296875, 1691.648681640625, 1857.03466796875]",1
frame_0002.png,extras,shoes,pair of indoor shoes,pair of indoor shoes.,0.18,0.18,6,0.2932,"[1149.490234375, 1646.0667724609375, 1696.1649169921875, 1854.476318359375]",1
frame_0002.png,extras,shoes,indoor shoes,indoor shoes.,0.18,0.18,10,0.3476,"[1156.127685546875, 1656.0975341796875, 1692.294677734375, 1857.017333984375]",1
frame_0002.png,extras,shoes,pair of shoes,pair of shoes.,0.18,0.18,5,0.282,"[1149.526123046875, 1645.9141845703125, 1694.934326171875, 1855.1121826171875]",1
frame_0002.png,extras,shoes,sneakers,sneakers.,0.18,0.18,0,0.0,,0
frame_0002.png,extras,shoes,slippers,slippers.,0.18,0.18,0,0.0,,0
frame_0002.png,extras,shoes,shoe pair on floor,shoe pair on floor.,0.18,0.18,5,0.6121,"[10.242433547973633, 965.1591796875, 2869.904541015625, 1848.138427734375]",1
frame_0002.png,extras,trash bin,trash bin,trash bin.,0.2,0.2,0,0.0,,0
frame_0002.png,extras,trash bin,indoor trash bin,indoor trash bin.,0.2,0.2,0,0.0,,0
frame_0002.png,extras,trash bin,garbage bin,garbage bin.,0.2,0.2,0,0.0,,0
frame_0002.png,extras,trash bin,waste bin,waste bin.,0.2,0.2,0,0.0,,0
frame_0002.png,extras,trash bin,recycling bin,recycling bin.,0.2,0.2,0,0.0,,0
